Sample,Location,Animal_ID,Grid_ref,Date,Record,Number.series,Sex,Mass
S_262,Watchmaker,176,B4,23/10/1998,1,176,F,1640
S_265,Watchmaker,176,A8,20/11/1998,5,176,F,1500
S_266,Watchmaker,176,A4,23/11/1998,7,176,F,1540
S_263,Watchmaker,178,B6,21/11/1998,6,178/181,M,1540
S_264,Watchmaker,178,D2,19/11/1998,4,178/181,M,1630
S_267,Watchmaker,178,C13,20/01/1999,12,178/181,M,1700
S_270,Watchmaker,180,A11,20/01/1999,11,180,F,1750
S_271,Watchmaker,182,A27,8/06/1999,22,182,M,1825
S_273,Watchmaker,184,C10,18/08/1999,28,184/189,M,1800
S_276,Watchmaker,184,A4,19/08/1999,29,184/189,M,1800
S_269,Watchmaker,185,C2,8/06/1999,24,185,F,1385
S_275,Watchmaker,185,B9,17/08/1999,26,185,F,1330
S_277,Watchmaker,188,B17,15/05/2000,41,188/403,F,1800
S_278,Watchmaker,188,A20,8/08/2000,47,188/403,F,1900
S_281,Watchmaker,188,A11,15/02/2000,35,188/403,F,1500
S_155x,Watchmaker,194,A5,22/02/2002,69,194,F,1625
S_280,Watchmaker,195,A4,19/02/2000,38,195,M,1825
S_279,Watchmaker,199,B17,21/02/2000,39,199/406,F,1950
S_153,Watchmaker,404,A31,23/02/2002,70,404/412,M,1825
S_152,Watchmaker,411,A5,30/10/2002,100,411,F,1500
S_156,Watchmaker,411,C13,22/09/2002,71,411,F,1625
S_157,Watchmaker,411,B10,17/08/2003,108,411,F,1950
S_166,Watchmaker,411,C12,17/11/2003,118,411,F,1775
S_168,Watchmaker,411,B8,16/08/2003,106,411,F,1900
S_362,Watchmaker,411,A14,16/05/2004,125,411,F,1700
S_146,Watchmaker,413,A1,22/09/2002,73,413,M,1875
S_158,Watchmaker,413,A2,16/11/2003,117,413,M,1900
S_161x,Watchmaker,413,A2,19/08/2003,113,413,M,1975
S_163,Watchmaker,413,A1,18/11/2003,120,413,M,1950
S_165x,Watchmaker,413,A3,17/08/2003,110,413,M,2025
S_160,Watchmaker,414,A1,20/08/2003,115,414,F,1775
S_261,Watchmaker,414,A2,21/02/2004,123,414,F,1625
S_340,Watchmaker,414,A1,12/08/2005,139,414,F,1750
S_148,Watchmaker,416,A2,26/09/2002,83,416,M,1275
S_147x,Watchmaker,419,A31,1/11/2002,105,419,M,1500
S_149x,Watchmaker,419,B31,24/10/2002,91,419,M,1550
S_249,Watchmaker,419,C3,20/02/2004,122,419,M,1500
S_159,Watchmaker,512,A24,16/11/2003,116,512,F,1350
S_164,Watchmaker,515,A24,18/11/2003,121,515,M,2000
S_363,Watchmaker,524,A17,16/05/2004,126,?/524,M,2125
S_268,Watchmaker,179F,A13,19/01/1999,NA,NA,NA,NA
S_272,Watchmaker,185F,A4,18/08/1999,27,185,F,1250
S_274x,Watchmaker,186F,B24,23/01/1999,14,186,F,1780
S_151,Watchmaker,199/406,A15,22/02/2002,68,199/406,F,1935
S_150,Watchmaker,401/410,B4,20/02/2002,67,410/401/506,M,1675
S_154x,Watchmaker,401/410,A8,30/10/2002,101,410/401/506,M,1775
S_162x,Watchmaker,410/506,C12,17/08/2003,109,410/401/506,M,1875
S_167x,Watchmaker,410/506,A16,18/08/2003,112,410/401/506,M,1900
S_341,Watchmaker,506/410,C11,11/08/2005,138,410/401/506,M,1925
