Sample,Location,Elevation of trap across trapping grid (m.a.s.l)
S_1,Bellbird,250
S_3,Bellbird,260
S_6,Bellbird,310
S_7,Bellbird,230
S_10,Bellbird,260
S_11,Bellbird,280
S_12,Bellbird,300
S_18,Bellbird,230
S_19,Bellbird,310
S_24,Bellbird,310
S_27,Bellbird,270
S_28,Bellbird,310
S_32,Bellbird,270
S_33,Bellbird,250
S_35,Bellbird,270
S_37,Bellbird,260
S_38,Bellbird,260
S_45,Bellbird,250
S_46,Bellbird,310
S_47,Bellbird,230
S_48,Bellbird,280
S_49,Bellbird,310
S_50,Bellbird,310
S_51,Bellbird,310
S_74,Bellbird,270
S_75,Bellbird,270
S_76,Bellbird,220
S_77,Bellbird,240
S_78,Bellbird,250
S_79,Bellbird,270
S_80,Bellbird,310
S_81,Bellbird,270
S_82,Bellbird,280
S_83,Bellbird,270
S_84,Bellbird,290
S_85,Bellbird,290
S_88,Bellbird,310
S_89,Bellbird,300
S_90,Bellbird,300
S_91,Bellbird,270
S_92,Bellbird,290
S_93,Bellbird,300
S_94,Bellbird,260
S_95,Bellbird,230
S_96,Bellbird,260
S_97,Bellbird,260
S_98,Bellbird,270
S_99,Bellbird,260
S_100,Bellbird,240
S_101,Bellbird,260
S_103,Bellbird,0
S_104,Bellbird,0
S_105,Bellbird,0
S_106,Bellbird,250
S_107,Bellbird,270
S_108,Bellbird,250
S_109,Bellbird,250
S_110,Bellbird,260
S_111,Bellbird,310
S_112,Bellbird,280
S_113,Bellbird,310
S_120,Bellbird,270
S_121,Bellbird,260
S_122,Bellbird,230
S_123,Bellbird,270
S_124,Bellbird,290
S_125,Bellbird,300
S_126,Bellbird,260
S_127,Bellbird,260
S_128,Bellbird,290
S_129,Bellbird,260
S_130,Bellbird,260
S_131,Bellbird,290
S_132,Bellbird,270
S_133,Bellbird,300
S_134,Bellbird,290
S_135,Bellbird,250
S_136,Bellbird,260
S_137,Bellbird,240
S_140,Bellbird,300
S_142,Bellbird,240
S_143,Bellbird,260
S_144,Bellbird,230
S_145,Bellbird,290
S_170,Bellbird,300
S_171,Bellbird,280
S_173,Bellbird,290
S_174,Bellbird,280
S_175,Bellbird,280
S_176,Bellbird,270
S_177,Bellbird,270
S_178,Bellbird,260
S_179,Bellbird,260
S_180,Bellbird,270
S_181,Bellbird,240
S_182,Bellbird,240
S_183,Bellbird,270
S_184,Bellbird,230
S_185,Bellbird,270
S_186,Bellbird,270
S_188,Bellbird,230
S_189,Bellbird,250
S_190,Bellbird,270
S_191,Bellbird,270
S_192,Bellbird,260
S_193,Bellbird,280
S_195,Bellbird,300
S_197,Bellbird,270
S_198,Bellbird,290
S_199,Bellbird,240
S_200,Bellbird,250
S_201,Bellbird,260
S_202,Bellbird,280
S_203,Bellbird,260
S_204,Bellbird,250
S_205,Bellbird,270
S_206,Bellbird,240
S_207,Bellbird,290
S_208,Bellbird,270
S_209,Bellbird,270
S_210,Bellbird,270
S_211,Bellbird,280
S_212,Bellbird,250
S_213,Bellbird,300
S_214,Bellbird,260
S_215,Bellbird,270
S_217,Bellbird,290
S_218,Bellbird,250
S_219,Bellbird,220
S_220,Bellbird,260
S_221,Bellbird,220
S_222,Bellbird,280
S_223,Bellbird,250
S_224,Bellbird,270
S_225,Bellbird,250
S_226,Bellbird,270
S_227,Bellbird,260
S_228,Bellbird,230
S_229,Bellbird,270
S_230,Bellbird,310
S_231,Bellbird,270
S_232,Bellbird,260
S_233,Bellbird,270
S_234,Bellbird,270
S_235,Bellbird,290
S_236,Bellbird,290
